"No.","Time","Source","Destination","Protocol","Length","Info"
"314","0.228272","192.168.123.6","192.168.123.23","TCP","66","54352  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=4285870045 TSecr=2299422804"
"315","0.228738","192.168.123.23","192.168.123.14","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"316","0.228789","192.168.123.14","192.168.123.23","TCP","66","57056  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2115494076 TSecr=595913631"
"317","0.228830","192.168.123.23","192.168.123.21","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"318","0.228876","192.168.123.21","192.168.123.23","TCP","66","56716  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=1735859678 TSecr=3590957563"
"319","0.230626","192.168.123.14","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"320","0.230654","192.168.123.23","192.168.123.14","TCP","66","666  >  57056 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=595913633 TSecr=2115494078"
"321","0.231059","192.168.123.21","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"322","0.231088","192.168.123.23","192.168.123.21","TCP","66","666  >  56716 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3590957565 TSecr=1735859680"
"323","0.231192","192.168.123.23","192.168.123.14","TLSv1.3","769","Application Data"
"324","0.231220","192.168.123.14","192.168.123.23","TCP","66","57056  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=2115494079 TSecr=595913634"
"325","0.231330","192.168.123.23","192.168.123.14","TLSv1.3","769","Application Data"
"326","0.231349","192.168.123.14","192.168.123.23","TCP","66","57056  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2115494079 TSecr=595913634"
"327","0.231686","192.168.123.23","192.168.123.21","TLSv1.3","769","Application Data"
"328","0.231713","192.168.123.21","192.168.123.23","TCP","66","56716  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=1735859681 TSecr=3590957566"
"329","0.231823","192.168.123.23","192.168.123.21","TLSv1.3","769","Application Data"
"330","0.231841","192.168.123.21","192.168.123.23","TCP","66","56716  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=1735859681 TSecr=3590957566"
"333","0.233208","192.168.123.12","192.168.123.23","TCP","74","51950  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4046090349 TSecr=0 WS=128"
"334","0.233240","192.168.123.23","192.168.123.12","TCP","74","666  >  51950 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3713494662 TSecr=4046090349 WS=128"
"335","0.233267","192.168.123.12","192.168.123.23","TCP","66","51950  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4046090350 TSecr=3713494662"
"336","0.233508","192.168.123.12","192.168.123.23","TLSv1.3","353","Client Hello"
"337","0.233586","192.168.123.23","192.168.123.12","TCP","66","666  >  51950 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3713494662 TSecr=4046090350"
"340","0.234057","192.168.123.26","192.168.123.23","TCP","74","57260  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3223725962 TSecr=0 WS=128"
"341","0.234101","192.168.123.23","192.168.123.26","TCP","74","666  >  57260 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1028130437 TSecr=3223725962 WS=128"
"342","0.234152","192.168.123.26","192.168.123.23","TCP","66","57260  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3223725962 TSecr=1028130437"
"343","0.234432","192.168.123.26","192.168.123.23","TLSv1.3","353","Client Hello"
"344","0.234494","192.168.123.23","192.168.123.26","TCP","66","666  >  57260 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1028130438 TSecr=3223725963"
"345","0.234521","192.168.123.23","192.168.123.12","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"346","0.234566","192.168.123.12","192.168.123.23","TCP","66","51950  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=4046090351 TSecr=3713494663"
"347","0.235397","192.168.123.23","192.168.123.26","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"348","0.235428","192.168.123.26","192.168.123.23","TCP","66","57260  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3223725964 TSecr=1028130439"
"349","0.238247","192.168.123.26","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"350","0.238273","192.168.123.23","192.168.123.26","TCP","66","666  >  57260 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1028130442 TSecr=3223725967"
"351","0.238639","192.168.123.12","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"352","0.238697","192.168.123.23","192.168.123.26","TLSv1.3","769","Application Data"
"353","0.238698","192.168.123.23","192.168.123.12","TCP","66","666  >  51950 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3713494667 TSecr=4046090355"
"354","0.238818","192.168.123.23","192.168.123.26","TLSv1.3","769","Application Data"
"355","0.238831","192.168.123.26","192.168.123.23","TCP","66","57260  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3223725967 TSecr=1028130442"
"356","0.238855","192.168.123.26","192.168.123.23","TCP","66","57260  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=3223725967 TSecr=1028130442"
"357","0.239242","192.168.123.23","192.168.123.12","TLSv1.3","769","Application Data"
"358","0.239344","192.168.123.23","192.168.123.12","TLSv1.3","769","Application Data"
"359","0.239386","192.168.123.12","192.168.123.23","TCP","66","51950  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=4046090356 TSecr=3713494668"
"360","0.239408","192.168.123.12","192.168.123.23","TCP","66","51950  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=4046090356 TSecr=3713494668"
"363","0.241495","192.168.123.3","192.168.123.23","TCP","74","60470  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3753374681 TSecr=0 WS=128"
"364","0.241525","192.168.123.23","192.168.123.3","TCP","74","666  >  60470 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3593608908 TSecr=3753374681 WS=128"
"365","0.241552","192.168.123.3","192.168.123.23","TCP","66","60470  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3753374682 TSecr=3593608908"
"366","0.241827","192.168.123.3","192.168.123.23","TLSv1.3","353","Client Hello"
"367","0.241889","192.168.123.23","192.168.123.3","TCP","66","666  >  60470 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3593608908 TSecr=3753374682"
"368","0.242750","192.168.123.23","192.168.123.3","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"369","0.242776","192.168.123.3","192.168.123.23","TCP","66","60470  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3753374683 TSecr=3593608909"
"370","0.244412","192.168.123.3","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"371","0.244439","192.168.123.23","192.168.123.3","TCP","66","666  >  60470 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3593608911 TSecr=3753374685"
"372","0.244859","192.168.123.23","192.168.123.3","TLSv1.3","769","Application Data"
"373","0.244961","192.168.123.23","192.168.123.3","TLSv1.3","769","Application Data"
"374","0.245049","192.168.123.3","192.168.123.23","TCP","66","60470  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3753374685 TSecr=3593608911"
"375","0.245071","192.168.123.3","192.168.123.23","TCP","66","60470  >  666 [ACK] Seq=978 Ack=2805 Win=62848 Len=0 TSval=3753374685 TSecr=3593608911"
"378","0.939328","192.168.123.34","192.168.123.23","TCP","74","56554  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3318830463 TSecr=0 WS=128"
"379","0.939361","192.168.123.23","192.168.123.34","TCP","74","666  >  56554 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3578021798 TSecr=3318830463 WS=128"
"380","0.939388","192.168.123.34","192.168.123.23","TCP","66","56554  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3318830464 TSecr=3578021798"
"381","0.939627","192.168.123.34","192.168.123.23","TLSv1.3","353","Client Hello"
"382","0.939699","192.168.123.23","192.168.123.34","TCP","66","666  >  56554 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3578021798 TSecr=3318830464"
"383","0.940551","192.168.123.23","192.168.123.34","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"384","0.940582","192.168.123.34","192.168.123.23","TCP","66","56554  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3318830465 TSecr=3578021799"
"385","0.943857","192.168.123.34","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"386","0.943895","192.168.123.23","192.168.123.34","TCP","66","666  >  56554 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3578021802 TSecr=3318830468"
"387","0.944630","192.168.123.23","192.168.123.34","TLSv1.3","769","Application Data"
"388","0.944660","192.168.123.34","192.168.123.23","TCP","66","56554  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=3318830469 TSecr=3578021803"
"389","0.944775","192.168.123.23","192.168.123.34","TLSv1.3","769","Application Data"
"390","0.944795","192.168.123.34","192.168.123.23","TCP","66","56554  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3318830469 TSecr=3578021803"
