"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"10.0.1.200",45262,"10.0.1.27",830,88,121174,46,111580,42,9594,42.142919,4.068485000000003,219403.53718890433,18865.00749050321
"10.0.1.200",35602,"10.0.1.55",830,86,118398,53,109410,33,8988,42.144851,4.1905280000000005,208871.05395787832,17158.69694701956
"10.0.1.200",59340,"10.0.1.26",830,85,114264,53,105354,32,8910,42.145325,4.198067000000002,200766.6861915257,16979.243065915805
"10.0.1.200",60622,"10.0.1.6",830,84,110938,43,101422,41,9516,42.148159,4.043258000000002,200673.81304878384,18828.380479306532
"10.0.1.200",58294,"10.0.1.29",830,87,116816,45,107234,42,9582,42.160614,4.086765,209914.68802341216,18757.13431038976
"10.0.1.200",41158,"10.0.1.11",830,81,123128,43,113798,38,9330,42.180643,4.166717999999996,218489.46820975188,17913.379307166953
"10.0.1.200",34620,"10.0.1.75",830,90,124102,50,114652,40,9450,42.205203,3.970168000000001,231026.99936123603,19042.015350483904
"10.0.1.200",43400,"10.0.1.7",830,94,126666,51,117006,43,9660,42.209733,4.2296850000000035,221304.42337904577,18270.864142365197
"10.0.1.200",50800,"10.0.1.63",830,104,128102,57,118178,47,9924,42.335212,3.9561410000000024,238976.31555599242,20068.041053137375
"10.0.1.200",58176,"10.0.1.80",830,95,130212,52,120552,43,9660,42.837933,3.461447999999997,278616.3478405571,22325.916783958637
"10.0.1.200",55246,"10.0.1.44",830,88,130870,44,121144,44,9726,42.910225,3.4691560000000052,279362.47317791375,22428.509989173126
"10.0.1.200",41644,"10.0.1.73",830,91,133728,48,124056,43,9672,42.928637,3.53078,281084.632857329,21914.704399594422
"10.0.1.200",40334,"10.0.1.37",830,81,132548,46,123428,35,9120,42.935716,3.4476450000000014,286405.3578602204,21162.271637596088
